Product,Number of results in Yarrowia Database,groups,Number of results,%,product,species,titer,titer log(10),titer ln,titer log2
Citrate,271,Organic Acids & Salts,886,29.41567065,Linalool,yarrowia,0.00009,-4.045757491,-9.315700888,-13.4397154729945
b-Carotene,195,Carotenoids,585,19.42231076,Linalool,yarrowia,0.00052,-3.283996656,-7.561681746,-10.9092007562957
Succinate,186,Fatty Acids & lipids,544,18.06108898,Linalool,yarrowia,0.00043,-3.366531544,-7.751725349,-11.1833757197347
Limonene,148,Terpenoids & Isoprenoids,352,11.68658699,Linalool,yarrowia,0.0007,-3.15490196,-7.264430223,-10.4803574574918
Triacetic acid lactone,135,Polyols,187,6.208499336,Linalool,yarrowia,0.00067,-3.173925197,-7.308232846,-10.543551283979
Pyruvate,131,Carbohydrates,141,4.6812749,Linalool,yarrowia,0.00084,-3.075720714,-7.082108666,-10.2173230516581
AKG,126,Misc.,115,3.818061089,Linalool,yarrowia,0.0006604,-3.180192935,-7.322664846,-10.5643722592983
Erythritol,111,Triterpenoids,108,3.585657371,Linalool,yarrowia,0.00144,-2.841637508,-6.543112165,-9.4397154729945
Astaxanthin,105,Mono Alochols,46,1.527224436,Linalool,yarrowia,0.00056,-3.251811973,-7.487573774,-10.8022855523792
Canthaxanthin,105,Flavonoids,45,1.494023904,Linalool,yarrowia,0.00534,-2.272458743,-5.232529626,-7.54894454274926
Echinenone,105,Terpenoid modified & alkaloids,2,0.066401062,Linalool,yarrowia,0.0019,-2.721246399,-6.265901393,-9.03978486610587
Betulin,77,Stilbenoids,1,0.033200531,Linalool,yarrowia,0.00252,-2.598599459,-5.983496377,-8.6323605509369
Mannitol,76,SUM,3012,,Linalool,yarrowia,0.0025,-2.602059991,-5.991464547,-8.64385618977473
Isocitrate,75,,,,Linalool,yarrowia,0.00365,-2.437707136,-5.613028111,-8.09788782066943
Lycopene,75,,,,Linalool,yarrowia,0.0046,-2.337242168,-5.381698975,-7.76415042349244
Squalene,72,,,,Linalool,yarrowia,0.0046,-2.337242168,-5.381698975,-7.76415042349244
Acetate,50,,,,Linalool,yarrowia,0.0042,-2.37675071,-5.472670754,-7.89539495677069
Protopanaxadiol,44,,,,Linalool,yarrowia,0.00445,-2.351639989,-5.414851183,-7.81197894858305
a-Farnesene,41,,,,Linalool,yarrowia,0.00696,-2.15739076,-4.967575805,-7.16669697858808
b-Ionone,34,,,,Linalool,yarrowia,0.00075,-3.124938737,-7.195437351,-10.3808217839409
Naringenin,33,,,2.81,Pregnenolone,yarrowia,0.000203,-3.692503962,-8.502304579,-12.266232652139
1-butanol,32,,,3.15,Pregnenolone,yarrowia,0.000025,-4.602059991,-10.59663473,-15.2877123795495
Betulinic acid,31,,,14.7,Pregnenolone,yarrowia,0.000125,-3.903089987,-8.987196821,-12.9657842846621
Mevalonate,29,,,8.7,Pregnenolone,yarrowia,NULL,#VALUE!,#VALUE!,#NUM!
Malate,28,,,20,Pregnenolone,yarrowia,0.00018,-3.744727495,-8.622553707,-12.4397154729945
FFA,22,,,16.2,Pregnenolone,yarrowia,0.000105,-3.978810701,-9.161550208,-13.2173230516581
Linalool,20,,,19.5,Pregnenolone,yarrowia,0.00006,-4.22184875,-9.721165996,-14.0246779737157
Fumarate,19,,,19,Pregnenolone,yarrowia,0.000065,-4.187086643,-9.641123288,-13.9092007562957
Arbutin,19,,,18,Pregnenolone,yarrowia,0.000052,-4.283996656,-9.864266839,-14.2311288511831
a-Santalene,18,,,19,Pregnenolone,yarrowia,0.00016,-3.795880017,-8.740336743,-12.6096404744368
Amorphadiene,18,,,18,Pregnenolone,yarrowia,0.0035,-2.455931956,-5.65499231,-8.15842936260448
Pregnenolone,16,,,0.69,Pregnenolone,yarrowia,0.006,-2.22184875,-5.11599581,-7.38082178394093
Methyl-ketones,14,,,4,Pregnenolone,yarrowia,0.0125,-1.903089987,-4.382026635,-6.32192809488736
Riboflavin,13,,,4.4,Pregnenolone,yarrowia,0.0142,-1.847711656,-4.254513314,-6.13796526004477
1-decanol,11,,,4.91,Pregnenolone,yarrowia,0.0258,-1.588380294,-3.657380787,-5.2764851241262
Arachidonic acid,10,,,5.4,Pregnenolone,yarrowia,0.078,-1.107905397,-2.551046452,-3.68038206579984
Pentane,10,,,88,Lipids,rhodosporidium,1.4,0.146128036,0.336472237,0.485426827170242
a-Linolenic acid,9,,,104,Lipids,rhodosporidium,3.1,0.491361694,1.131402111,1.63226821549951
a-Ionone,8,,,110,Lipids,rhodosporidium,4.8,0.681241237,1.568615918,2.26303440583379
Campesterol,8,,,120,Lipids,rhodosporidium,6.9,0.838849091,1.931521412,2.78659636189081
Glycogen,6,,,9.5,Lipids,rhodosporidium,8.1,0.908485019,2.091864062,3.01792190799726
Taxifolin,6,,,11,Lipids,rhodosporidium,9.1,0.959041392,2.208274414,3.18586654531133
Eriodictyol,6,,,12.4,Lipids,rhodosporidium,2.6,0.414973348,0.955511445,1.37851162325373
Nootkatone,5,,,13.4,Lipids,rhodosporidium,5.2,0.716003344,1.648658626,2.37851162325373
Valencene,5,,,18.3,Lipids,rhodosporidium,6.7,0.826074803,1.902107526,2.74416109557041
Decanoic Acid,5,,,65.81,Lipids,rhodosporidium,9,0.954242509,2.197224577,3.16992500144231
Hexadecanol,5,,,106.82,Lipids,rhodosporidium,10.3,1.012837225,2.332143895,3.36457243229586
Octadecanol,5,,,60.01,Lipids,rhodosporidium,12.2,1.086359831,2.501435952,3.60880924267552
LCDCA (long chain dicarboxylic acid),5,,,91.3,Lipids,rhodosporidium,8.4,0.924279286,2.128231706,3.0703893278914
Wax Esters,4,,,55.67,Lipids,rhodosporidium,7.9,0.897627091,2.066862759,2.98185265328974
Alkanes,3,,,90.57,Lipids,rhodosporidium,7.7,0.886490725,2.041220329,2.94485844580754
Fatty Alcohol,3,,,54.1,Lipids,rhodosporidium,7.1,0.851258349,1.960094784,2.82781902461732
Crotonic acid,3,,,88.67,Lipids,rhodosporidium,7.2,0.857332496,1.974081026,2.84799690655495
PHB,3,,,51.97,Lipids,rhodosporidium,6.6,0.819543936,1.887069649,2.72246602447109
Ergothioneine,2,,,83.47,Lipids,rhodosporidium,8.8,0.944482672,2.174751721,3.13750352374994
Lupeol,1,,,50.97,Lipids,rhodosporidium,8.5,0.929418926,2.140066163,3.08746284125034
Reservatrol,1,,,74.47,Lipids,rhodosporidium,8.1,0.908485019,2.091864062,3.01792190799726
Lipids,431,,,43.3,Lipids,rhodosporidium,7.7,0.886490725,2.041220329,2.94485844580754
FAEE,48,,,73.5,Lipids,rhodosporidium,9.9,0.995635195,2.292534757,3.30742852519225
,,,,76.5,Lipids,yarrowia,3,0.477121255,1.098612289,1.58496250072116
,,,,78.4,Lipids,yarrowia,4.25,0.62838893,1.446918983,2.08746284125034
,,,,80.7,Lipids,yarrowia,2.4,0.380211242,0.875468737,1.26303440583379
,,,,0.3376,Lipids,yarrowia,2.4,0.380211242,0.875468737,1.26303440583379
,,,,0.0129,Lipids,yarrowia,2.4,0.380211242,0.875468737,1.26303440583379
,,,,0.415,Lipids,yarrowia,2.5,0.397940009,0.916290732,1.32192809488736
,,,,0.458,Lipids,yarrowia,0.3692,-0.432738308,-0.996416776,-1.43752554190368
,,,,0.675,Lipids,yarrowia,0.5041,-0.297483303,-0.684980618,-0.988218140540085
,,,,0.91,Lipids,yarrowia,3.6,0.556302501,1.280933845,1.84799690655495
,,,,0.099,Lipids,yarrowia,2.1,0.322219295,0.741937345,1.0703893278914
,,,,1.6417,Lipids,yarrowia,0.328,-0.484126156,-1.114741671,-1.608232280044
,,,,2.1167,Lipids,yarrowia,0.2475,-0.606424797,-1.396344697,-2.01449956969512
,,,,2.4061,Lipids,yarrowia,40,1.602059991,3.688879454,5.32192809488736
,,,,2.6802,Lipids,yarrowia,40,1.602059991,3.688879454,5.32192809488736
,,,,3.0212,Lipids,yarrowia,0.65,-0.187086643,-0.430782916,-0.62148837674627
,,,,12.5,Lipids,yarrowia,0.26,-0.585026652,-1.347073648,-1.94341647163363
,,,,93.1,Lipids,yarrowia,0.32,-0.494850022,-1.139434283,-1.64385618977472
,,,,121.04,Lipids,yarrowia,0.09,-1.045757491,-2.407945609,-3.47393118833241
,,,,130.64,Lipids,yarrowia,1.07,0.029383778,0.067658648,0.0976107966264223
,,,,63.25,Lipids,yarrowia,0.2,-0.698970004,-1.609437912,-2.32192809488736
,,,,63.25,Lipids,yarrowia,0.82,-0.086186148,-0.198450939,-0.286304185156641
,,,,134.56,Lipids,yarrowia,0.7,-0.15490196,-0.356674944,-0.514573172829758
,,,,119.99,Lipids,yarrowia,0.73,-0.13667714,-0.314710745,-0.454031630894708
,,,,121.04,Lipids,yarrowia,0.44,-0.356547324,-0.820980552,-1.18442457113743
,,,,0.0006,Lipids,yarrowia,0.59,-0.229147988,-0.527632742,-0.761213140412884
,,,,28.9,Lipids,yarrowia,0.41,-0.387216143,-0.891598119,-1.28630418515664
,,,,35.25,Lipids,yarrowia,0.88,-0.055517328,-0.127833372,-0.184424571137427
,,,,133.5,Lipids,yarrowia,0.46,-0.337242168,-0.776528789,-1.12029423371771
,,,,131.4,Lipids,yarrowia,1.2,0.079181246,0.182321557,0.263034405833794
,,,,132.8,Lipids,yarrowia,0.24,-0.619788758,-1.427116356,-2.05889368905357
,,,,133.7,Lipids,yarrowia,0.74,-0.13076828,-0.301105093,-0.434402824145775
,,,,5.64,Lipids,yarrowia,0.91,-0.040958608,-0.094310679,-0.136061549576028
,,,,41.4,Lipids,yarrowia,0.98,-0.008773924,-0.020202707,-0.0291463456595165
,,,,39.8,Lipids,yarrowia,0.81,-0.091514981,-0.210721031,-0.3040061868901
,,,,42.5,Lipids,yarrowia,0.048,-1.318758763,-3.036554268,-4.38082178394093
,,,,36.4,Lipids,yarrowia,0.54,-0.26760624,-0.616186139,-0.888968687611256
,,,,32.8,Lipids,yarrowia,1.41,0.149219113,0.343589704,0.495695162624069
,,,,34.3,Lipids,yarrowia,0.85,-0.070581074,-0.162518929,-0.234465253637023
,,,,31.9,Lipids,yarrowia,2.99,0.475671188,1.095273387,1.58014548442338
,,,,35,Lipids,yarrowia,0.49,-0.30980392,-0.713349888,-1.02914634565952
